audio_file	transcription	duration
Chapter10_22_22.wav	Mirka, duman, futbolpukllana pampaman, ayllullaktakunaman krina kanchik.	4.7883125
Chapter10_230_230.wav	Haku pader, kay llaktaka chinkari ñanta rikun.	4.0228125
Chapter10_232_232.wav	Kishpichik payka sukriy.	2.5045625
Chapter10_233_233.wav	Hawaniropak ayllullaktapi.	2.3651875
Chapter10_234_234.wav	Pandimiamanta rimaykuna.	2.353625
Chapter10_25_25.wav	Maypichay manawallikuna kuriminata churankapak munankuna?	4.040875
Chapter10_27_27.wav	Ñuka churi Frediwan kushillami kani.	3.0638125
Chapter10_2_2.wav	Ari kredin imata.	1.280125
Chapter10_32_32.wav	Paypa willachinkapak churanata churakushka shuk muchillatapash aparishka purin.	5.770125
Chapter10_34_34.wav	Uyachikunata aparishpa purina karyan ninmi, antinakunata kablekunatapash.	5.59725
Chapter10_36_36.wav	Chay rurayka lipacha mari kakrinpredish.	3.3525625
Chapter10_38_38.wav	Maypimi chay willsunkwatak ña minata churashka nikun push tumantapacha kashun.	5.4350625
Chapter10_39_39.wav	Na wasañaka, wallachik.	2.2735
Chapter10_40_40.wav	Ashina pachakuchuk shinallatak akilladorukomi kakrin.	4.372125
Chapter10_41_41.wav	Manuela, kanka kawinapi shuyanki tukuyman willachinki.	3.8205
Chapter10_42_42.wav	Ima nishpa ñukaka Fredin.	2.4618125
Chapter10_45_45.wav	Kunanka ñuka lulawan rishun.	2.0278125
Chapter10_47_47.wav	Ñuway Fredy.	0.6635625
Chapter10_51_51.wav	Chay wichkun runaka ama na sashpami rirka.	2.9596875
Chapter10_57_57.wav	Ñuka mashi Fredimi nikurka.	2.207875
Chapter10_69_69.wav	Mashi, kaypi kay internazka mana hapinkachu.	3.1739375
Chapter10_6_6.wav	Ñuway pray.	0.58975
Chapter10_72_72.wav	Kaypika manachu internet hapipakna.	2.1819375
Chapter10_77_77.wav	Mana computadora, tabletkunatapash charinkunachu.	3.3268125
Chapter10_78_78.wav	Puchikka, shina kañana ushagrinchikka programata rurayta.	3.9903125
Chapter10_79_79.wav	Mana, mana, Lula.	1.211
Chapter10_83_83.wav	Kallaripika kay ayllullaktakunapi, enterrin mana tiyanllunishpa willachikrinchik.	4.659625
Chapter10_85_85.wav	Uyachik antapi llamkakuna hatun larkapi gravashka llamkanakunkaka manka, miniramanta kirintika alli ukuman chayarka.	9.4201875
Chapter10_86_86.wav	Kayka imashinami, madella pucha, liary kallarin.	4.6803125
Chapter10_88_88.wav	Allkantesa Magda allena ayala, minkachiway, kushikushkami kani kikinta riksishaamanta.	6.785
Chapter10_90_90.wav	Winshun wallachik, empresami nera wuldinghans nishka ukupak pushanmi kan.	6.2705
Chapter10_92_92.wav	Alcaldesa, yachanchikmi kay munisipkiyun, imalla llakikunata charikna.	5.312875
Chapter10_97_97.wav	Ari, shinapachami donkuelachik.	2.733
Chapter10_98_98.wav	Imatak ninkapak shamunki?	2.578375
Chapter11_100_100.wav	Tukuy tamicharinchik, rurukuna, verdurakuna, kiwakuna.	6.519875
Chapter11_101_101.wav	Kunanka produktukuna puchunakun.	2.3811875
Chapter11_104_104.wav	Imashpatak na shuk tiyantatak churanchik?	2.62025
Chapter11_106_106.wav	Maykan cooperativakunmere?	1.5815625
Chapter11_10_10.wav	Siyanunu, arsiniku shunwayuchina hampikunapashun.	4.745
Chapter11_114_114.wav	Kupelativashna tantanakushpa kastukunata tantachishpa katuy ushanchik.	5.8356875
Chapter11_118_118.wav	Shuk ponto komuntashinashun.	2.3495625
Chapter11_11_11.wav	Shinaka ñachu yachankichik chay empresami nera kayman shamukukta.	4.5465625
Chapter11_120_120.wav	Muyukunata, era mientakunata mutsushpaka tantanakushpa rantishun.	5.7215
Chapter11_121_121.wav	Shuk cooperativamashikuna.	1.7651875
Chapter11_123_123.wav	Shina, habon, rumirawan, manchanillawan.	4.332125
Chapter11_125_125.wav	Ninakunata, labanta sisakunawan.	3.0035625
Chapter11_126_126.wav	Ruda tapash kullkitapash yapa mutsun.	2.872875
Chapter11_127_127.wav	Imashna muskanki, Gumersinda.	2.3248125
Chapter11_12_12.wav	Ari, sarun puncha allpata rikunkapak shamurkakuna mirishpa purinkapak.	5.141375
Chapter11_130_130.wav	Shuk cooperativatakllankankuna.	2.487875
Chapter11_132_132.wav	Pukuchin, piriya urkani kakunaman rin.	2.9605
Chapter11_142_142.wav	Chaychishillata paypak yanapak ña na muchikuta churakushka, ama ruka alcoholdesa makdalena ayalapa ñawpapish shayarirka.	9.3921875
Chapter11_143_143.wav	Allita rimasha pushak kall kaldesa, shinapash ñuka katuku yachachiywarka.	4.8019375
Chapter11_145_145.wav	Ari nishkataka riksinimi, shinapash imatak ninkapak munakukta na hamuktanichu, Amaru Sánchez.	6.695625
Chapter11_146_146.wav	Chay empresak, miniramanta llullak runa kikinta rikunkapak shamurka.	4.4903125
Chapter11_148_148.wav	Willsonkualichita nikunki?	2.020375
Chapter11_151_151.wav	Alcaldesa, kikinka yachankichu, chay minazak cielo abierto imashina llamkanataka.	5.7486875
Chapter11_154_154.wav	Ey, alcoholtsa, willashpa ñawpakrini.	3.3855625
Chapter11_157_157.wav	Uyapanki alli kaldesa.	1.3548125
Chapter11_158_158.wav	Kallaripika urkupi dinamitata churankuna.	3.01525
Chapter11_159_159.wav	Chay kipaka ushashka rumikunata hapishpa pulputa rurankuna.	4.366375
Chapter11_161_161.wav	Katipika achka sianuru, arseniku yakuwan mayllankuna.	4.6630625
Chapter11_162_162.wav	Kipallatak kakutin shuk tak veneno kunatapash churashpa kurita allpamanta chikan yachinkuna.	6.5004375
Chapter11_163_163.wav	Chay yakuta kakikinpakak munamantami llukshinka.	3.8449375
Chapter11_166_166.wav	Peroaman yapata llakiyarichu, chay empresakunaka shuk tratamintuta yakuta rurak nirka.	6.86375
Chapter11_168_168.wav	Chayka maypipash mana shinachu, alli kaldesa.	2.955
Chapter11_177_177.wav	Kikinka nirkankisha, nuro, arseniko.	3.4311875
Chapter11_178_178.wav	Imerkuriopash.	1.26825
Chapter11_180_180.wav	Chaybenenokunaka kanata istados unidospika, prohibidomi kashka, ninanta runakunata allpatapash wakllichishkamanta.	8.5841875
Chapter11_181_181.wav	Alcantesa, makita rikuchipay.	2.7443125
Chapter11_183_183.wav	Chay kuri, a ninuta kikinpak makipi charinki.	3.44575
Chapter11_186_186.wav	Chaykramutatak rinkapakka pichka waranka litru yakuta wi ninushpa millukshichin.	5.801875
Chapter11_187_187.wav	Ña, shinaka, chay tukuy, shinami kan, shinapash, shinapash llamkaykunata kun, ashtaka impliyota kun.	10.661125
Chapter11_188_188.wav	Ama asichiywaychu, alcoholcaldesa.	2.51075
Chapter11_190_190.wav	Kayta uyapa yallkantesa.	2.017625
Chapter11_193_193.wav	Shuksayariyu reportaki kan.	1.8945625
Chapter11_194_194.wav	Shuk periodista ecuatoriano rurashka.	2.2365625
Chapter11_196_196.wav	Warmikunapakka nima llamkay, yanka explotación rarkmi tiyan.	4.490875
Chapter11_197_197.wav	Prositutakuna ishtantukunapi?	2.3889375
Chapter11_198_198.wav	Shirtupacha kan.	1.5275625
Chapter11_1_1.wav	Ñukachu rik Fredy kashna niwarka.	2.20075
Chapter11_200_200.wav	Shinapash karaykunapash tiyan, ista doman kullkikutapash kunkami.	5.9711875
Chapter11_201_201.wav	Estadupaka ashallami sakirin.	2.23675
Chapter11_202_202.wav	Suertiyta charishpaka 10%, empresash tankirakunaka, 90% tapash, ñukanchik mamallaktaka 10%llatak charin.	8.524875
Chapter11_206_206.wav	Kaykuntuka alcoholcaldesa Magdalena, kallari kinyentos wata washa, cerurikopotosi urkupi Bolivia mamallaktapi.	8.196875
Chapter11_207_207.wav	Na Amaru ushanchik, yachanimi.	2.57225
Chapter11_209_209.wav	Yuyankapaklla, na kanchu, alli kaldesa.	2.8846875
Chapter11_211_211.wav	Hawaniropak ayllullaktapi.	2.2808125
Chapter11_212_212.wav	Pandimiamanta rimaykuna.	2.3325
Chapter11_22_22.wav	Chay empresaka kaypika mana yaykunkachu.	2.7035625
Chapter11_25_25.wav	Ñakutin shuk ur rimaykunaman yallishpaka, kaykunamanka ima wakunakunapash na uyarinchu?	6.6789375
Chapter11_26_26.wav	Nima, gobiyanoka ñukanchik tiyashkataka na yuyanchu.	3.53175
Chapter11_2_2.wav	Sumak kawsay uyachik antamanta, chay larka ladupi runa ayllullaktakuna kawsakpaman rishka.	6.8238125
Chapter11_31_31.wav	Ñukapash kontak yariy kani.	1.846625
Chapter11_36_36.wav	Hapun nirupayllullaktapika, ña na shuyayta ushanchikchu.	3.4445625
Chapter11_37_37.wav	Alcaldisaka willachirkami, kuywitpa wakunakunamanta, kaykunaka chayamunkami nishpa.	6.16075
Chapter11_39_39.wav	Nikrinkakuna, chinakunapash, rusakunapash kupa na kunapash, nimanachayamushkachu.	6.4323125
Chapter11_3_3.wav	Chaypika shuk karullaktamanta empresak, mina deuruk nishkata churankapak munanakuy.	6.5926875
Chapter11_40_40.wav	Imasha, santokuna nin.	2.015
Chapter11_42_42.wav	Kay punchakunapi ñami primeloteta charishun, rukukunapak.	4.893125
Chapter11_43_43.wav	Imashina nishpaka, maykan, saysantiksin kawata yallita charikkunamibakunarinka.	5.73675
Chapter11_44_44.wav	Shinaka internetpi, solicituta puntachishpa punchay pachata shuyaychik.	5.6853125
Chapter11_45_45.wav	Puntuelcha yaychik.	1.637125
Chapter11_46_46.wav	Tuknata chinkachishpaka, filapi shayarishpa shu yaylla nin.	4.8794375
Chapter11_48_48.wav	Hallkantesa, ñukaka mashina watata charinitapash na yachanika.	5.3741875
Chapter11_53_53.wav	Shinapash, 75 watamampash manarak chayankichu.	4.3228125
Chapter11_55_55.wav	Pushak allkaldesa, shuk tapuy.	2.572375
Chapter11_58_58.wav	Ari, kikinka ña pakunarishka kashpa ña mana kikarinki.	4.2695
Chapter11_59_59.wav	Ari, ministariyode salukmi autorización takuwarka.	3.988375
Chapter11_60_60.wav	Shinapash, yapata para hukpi llakirishka kanmi.	4.3501875
Chapter11_61_61.wav	Shallkaktsa, ama yapatakpina rishpa, ucha ruray.	4.0255625
Chapter11_62_62.wav	Mini isteriyota kutin tapukrini, kay killaka wamprakunapash, pakunarinka niwashka.	6.5050625
Chapter11_66_66.wav	Ñuka rirkanimi alcoholdisawariymankapak, emmanak chay wakuna nishkakunamantaka, ashtawanka empresami niramanta.	9.205125
Chapter11_69_69.wav	Tunusebi, kikinpash churika uyachik antataka allitami apakun.	4.961375
Chapter11_6_6.wav	Chaypi internetse ña na tiyakpi, enchaybistataka gravarka, ama ruwan, kommunamanta dirigentekunawan shuk mashikuna wampash.	9.2885625
Chapter11_72_72.wav	Shinaka, kikinpa warmika proyectoday wartuspami llakunawan un purikunchu.	6.202375
Chapter11_74_74.wav	Frediy llullukakpillatakmi wañurkak mashi.	3.13175
Chapter11_75_75.wav	Oy, na yacharkani kishpichiyway tonyawusebio.	3.493
Chapter11_77_77.wav	Alkantesa, ashtawankari chay proyectu mineroamanta rimankapami shamurkani.	5.5170625
Chapter11_79_79.wav	Kay, llamkayka ñukanchik munisipiopak allipacha kana kanka yakuninmi.	4.9111875
Chapter11_7_7.wav	Hawaniropak ayllullaktapi.	2.4578125
Chapter11_80_80.wav	Mana mana uchalla, mashirkatesa.	2.3354375
Chapter11_82_82.wav	Minata maypi churakrin.	1.6999375
Chapter11_8_8.wav	Pandimiamanta rimaykuna.	2.3359375
Chapter11_92_92.wav	Bodegamanta Gumersinda warmika wasipillata maypipash tarpunata yachachishkami.	6.4930625
Chapter11_93_93.wav	Shukkunaka mankakunata lichu kawan, rawanunan churana.	4.7590625
Chapter11_94_94.wav	Chayshuka perehiylta, kullantruta, pintanapi warkushpa pukuchin.	6.1474375
Chapter11_95_95.wav	Shukkunaka, botillata, tupukunata pirkapi warkushpa, shinashpa, kull, shinallatak se willakunata wiñachinakun.	9.8074375
Chapter11_96_96.wav	Ay kay warmikunaka, zapatushkunapilla manarakatarkushka.	4.7796875
Chapter11_99_99.wav	Nima yukmersinda.	1.111875
Chapter11_9_9.wav	Chun kashun, kapitur.	1.564875
Chapter12_102_102.wav	Halladan, neusherio.	1.4691875
Chapter12_103_103.wav	Trakukaka kay, trakukachay kuruta wañuchin ninka.	5.2065625
Chapter12_104_104.wav	Chik chaykupi nishkata.	1.835125
Chapter12_106_106.wav	Yawarmantirakta rikchuñari.	2.6880625
Chapter12_107_107.wav	Sallullun, mashikuna, salud.	2.8771875
Chapter12_108_108.wav	Chay hawa mayupi, tiyakkumunidadak, chaypimi ashtawan sinchik kawsayllikurin.	5.7525
Chapter12_109_109.wav	Chaymanka empresami niramanta kirinti chayashka.	3.44875
Chapter12_110_110.wav	Willson wallachik, kariyarishkarunami payka.	3.18275
Chapter12_111_111.wav	Paymi shuk ministério de energía ukupi llamkak runawan chayashka.	4.450625
Chapter12_113_113.wav	Ministeriyuka kay allpakunata kushka ñukanchik goldenhansk, kumpanyaman metarkunata explotankapak, shinaka.	8.6385625
Chapter12_115_115.wav	Ministerioka mana paypak aspata shina pi mankumpi dayta ushankunachu.	5.1520625
Chapter12_117_117.wav	Shukka empresama kunakunchik, llamkayta kuchun, kankunapa allikachun.	5.3228125
Chapter12_119_119.wav	Papiktapish charinchikmi.	1.7150625
Chapter12_120_120.wav	Shinapash allpawkupi tiyanakkunaka, estadopamariy.	3.1826875
Chapter12_121_121.wav	Alpa ukupi rikaysakunapash, estadupamariy.	3.1485625
Chapter12_122_122.wav	Pitakyari kutin estaduka.	2.0515625
Chapter12_123_123.wav	Simpre nikkashkaka ista duka ñukanchikmi kanchik nishpa.	3.8921875
Chapter12_124_124.wav	Kankunaka uviertunamanta pushamanta kankichik.	3.6466875
Chapter12_125_125.wav	Chaypika ñukanchikmi pakanchik.	2.0858125
Chapter12_126_126.wav	Alli adatakunaduta rikukkunika pushakunamanta.	2.994375
Chapter12_128_128.wav	Minata churankapak ñukanchikta tapuna kan.	3.0263125
Chapter12_131_131.wav	Kay kumpay ñusintu 69, organisation international del trabajo, naaciones unidas, santuwan.	7.199125
Chapter12_132_132.wav	Kankunaka nachu kay kumpi ñutaka riksinkichik.	3.1225
Chapter12_135_135.wav	Kunpeño 169, oy, teninmi, pueblos intikena yurikinariyskunata tapunarak kan, runarak ima proyectokuna kallarikpi, paykunapak derechus collectivos, shinallatak allpakuna wakllirikukpi.	14.3499375
Chapter12_136_136.wav	Chaykunshutataka mana dinkulachikchu.	2.4645
Chapter12_138_138.wav	Chaypi rikushun ñukanchik kutichishkakunata kallunkichikchu, mana.	4.6254375
Chapter12_139_139.wav	Ña ñuka nikurkanika, señor de legari.	2.7533125
Chapter12_13_13.wav	Hawaniropak ayllullaktapi.	2.5640625
Chapter12_140_140.wav	Kay uyachik anta piratamantami, kay runakunataka rinchitakunuchin.	4.8335625
Chapter12_144_144.wav	Ñukanchikka na minariapak kuntachu kanchik.	2.7821875
Chapter12_147_147.wav	Ñukanchikka mineriyatami mana munanchik.	2.9285
Chapter12_148_148.wav	Minería as killu abierto nishkaka, chayka enrernopashkashka shinami kan.	5.4048125
Chapter12_149_149.wav	Kankanak riksinkichun mashi, kay ministioso, informe dilpaktanmiyelta nishkata, presentashka empresa allipacha shinushkata.	7.748625
Chapter12_14_14.wav	Pandimiamanta rimaykuna.	2.3293125
Chapter12_150_150.wav	Allipacha kashpaka, consultata shinayaychikari.	3.6938125
Chapter12_152_152.wav	Kaytaka ñukaman sakiway, señor delaykana.	3.000625
Chapter12_153_153.wav	Tukuyllami shuk preshiyuta charin.	2.2848125
Chapter12_154_154.wav	Tukuy kommunakunapash shuk kancha refurkurta kushun nikpika ari ninkallami.	5.69625
Chapter12_155_155.wav	Asha kullkita pushakunaman kunallami parta.	3.0438125
Chapter12_15_15.wav	Chunka ishkay kapitura.	1.694375
Chapter12_160_160.wav	Kankuna mañashka consultata sakirini.	2.988875
Chapter12_161_161.wav	Elekcione munisipales ña llapaktakun.	2.8100625
Chapter12_163_163.wav	Shinapapeletas yunasta, awrashunchik.	2.943
Chapter12_167_167.wav	Imatakmanuela?	1.096875
Chapter12_168_168.wav	Punkuukuta karkatak shitamushkata rikurkankichun?	2.9225625
Chapter12_16_16.wav	Minaría incirno paskashka.	2.6214375
Chapter12_170_170.wav	Chayamayna sakunaka niniriyanishkamantami kanka.	3.602125
Chapter12_176_176.wav	Kankuna umata kunuyachik kankichik, mayu umamanta kommunirukunata.	3.908625
Chapter12_179_179.wav	Sariopacha rinakun kaymina rukunaka.	2.440375
Chapter12_17_17.wav	Minaría sustentableta nishkata rimankichik.	2.7261875
Chapter12_181_181.wav	Ña rimayta sakishunchu, kay kullden kansmanta.	3.39525
Chapter12_185_185.wav	Shinapash nachayllatachu supayta kayayka, kaisopayta chimpapura rikuyka.	6.1061875
Chapter12_18_18.wav	Ima sustentable, ima wita de vieja.	3.179875
Chapter12_190_190.wav	Hawaniropak ayllullaktapi.	2.3123125
Chapter12_191_191.wav	Pandimiamanta rimaykuna.	2.3671875
Chapter12_19_19.wav	Nimaykan minoria na sustentable kanchu.	2.7059375
Chapter12_1_1.wav	Kay pushak Amaru Sánchezta rimachishkakunaka sumak kawsay uyachik antapika ninanta uyarikun.	6.8140625
Chapter12_20_20.wav	Mine ralleskunaka mana papakkunashta uñanchu.	3.0670625
Chapter12_21_21.wav	Mina ralkunaka tukurinmi.	1.9304375
Chapter12_22_22.wav	Llukchirin, itukurin.	1.96375
Chapter12_23_23.wav	Tukurikpi, empresakunaka rishpa sirin.	3.121375
Chapter12_24_24.wav	Ikutukukunata, mapakkunata, kontakmi na shuntak allpamamata wanchishpa sakin.	5.9456875
Chapter12_26_26.wav	Ami na zankapak ña kaya muykallarin.	3.29875
Chapter12_28_28.wav	Prawaymi kanki, nachu.	1.7118125
Chapter12_29_29.wav	Kanpak yallaka Eusebllumikak, nachu?	2.9075625
Chapter12_2_2.wav	Alcaldesa Magdalena upapi shuk wampashina chayarka.	4.1604375
Chapter12_30_30.wav	Shinaka kuy, anri.	1.5365
Chapter12_31_31.wav	Chaypirata radioymanta mashikunatapish kuykan.	3.5321875
Chapter12_32_32.wav	Alcaldesa Magdalena yana, chayrakuk ayachikmukarka.	3.967625
Chapter12_35_35.wav	Ari, shinami kana ushavio.	2.0848125
Chapter12_36_36.wav	Megan miniriyaka, na yapa emplawta karanchu.	3.8625625
Chapter12_37_37.wav	Kaytapash ñami averiguarkani.	2.132
Chapter12_39_39.wav	Empressakuna, wichkanakun, shuk shuk.	2.67675
Chapter12_3_3.wav	Na Amaru Sánchez yachanimi.	2.8361875
Chapter12_40_40.wav	Disampayukipaka yarkay shamun.	2.7331875
Chapter12_45_45.wav	Shinapash, bancokunataka mana shuwanllun.	3.59375
Chapter12_46_46.wav	Karterakunata shuwanakun, mikunata rantinkapak.	3.526375
Chapter12_47_47.wav	Celulashuwaykuna tiyan, mikunata rantinkapak.	3.59125
Chapter12_50_50.wav	Konsekun munisipi allmantakunaka nimatapash na llullarinchu.	4.3753125
Chapter12_52_52.wav	Amaru Sánchez kashnami niwarka.	2.5740625
Chapter12_53_53.wav	Paypa comunaka eco turishmumamanta rurakrin.	3.3541875
Chapter12_55_55.wav	Turismo comunitariyuta yari.	2.0253125
Chapter12_56_56.wav	Kuyaylla paysa kikunata charin.	2.3101875
Chapter12_59_59.wav	Turistakunataka chaskita ushankallami.	3.0473125
Chapter12_5_5.wav	Yuyankapaklla na kanchu, allkaldesa.	2.7945625
Chapter12_60_60.wav	Maskarillakunawan shamukpipash imatak rurarinka?	3.5125
Chapter12_62_62.wav	Eskursión ismishkatapash shina engallami.	3.018375
Chapter12_65_65.wav	Shuk fuente retroapakutapash ministinchik.	3.6000625
Chapter12_66_66.wav	Yarinki, yuyarinki, Magdalena.	2.7165
Chapter12_67_67.wav	Ñukanchik mamallaktapika 70% llamkaykunataka kukunami uchilla shinallatak mediano negociukuna, paykunami llamkaykunatakakun.	11.4135625
Chapter12_68_68.wav	Na hatun industriakunaka, na hatun corporationkunaka, paykunaka na llamkaykunataka kunchu.	7.1405625
Chapter12_71_71.wav	Kaypika chaypimash uchilla hatunlla, chay empresakunata, chaykunata ashtawan ñawpaman apana.	7.8740625
Chapter12_73_73.wav	Ari, allikempluta charinchik.	2.537875
Chapter12_74_74.wav	Doña Gumersintapak cooperativawan.	3.2501875
Chapter12_76_76.wav	Chay warmi tantanakuykuna, ñaferayakunapi katunakun.	4.687
Chapter12_77_77.wav	Ina payllakuna.	1.515625
Chapter12_80_80.wav	Shamuychik, shamuychik, mikuychik, imapash kanki illak tomatekunata.	4.2041875
Chapter12_84_84.wav	Telavisores, repikteradores, ventiladores, tukuytami alliachishun.	5.942375
Chapter12_85_85.wav	Moramorti ñobinata,mantarina kaya yakuta, yana killuk puka servessata.	5.491625
Chapter12_86_86.wav	Hatun empresakunaka paykunallatak yanaparin.	3.406625
Chapter12_87_87.wav	Uchilla, chawpilla empresakunatami gobernukunaka yanapana kan.	4.772125
Chapter12_88_88.wav	Waku intereskunata kushpa, technolokiyaman yaykuchun, asesuría, yachachishpa shukkunatapash rurashpa.	8.244875
Chapter12_90_90.wav	Paykunami ashtawan sinchik waktay tukushka kan, kay pandemia piyka.	4.7226875
Chapter12_91_91.wav	Ari, alcohol diapicharinchik, ashakullkita mañachinkapak, shinapash, na yapa solizitukunatiyanchu.	8.1605
Chapter12_95_95.wav	Yamkay mana tiyashpa kay thisa impliyoka mana shuwaytallaka mirachinchu.	5.122875
Chapter12_97_97.wav	Willani, kayna ni puncha wasiman rikushpana, chawpi punchapi mercadoskina pi, chayta yallikupi kashna niwari.	8.3569375
Chapter12_98_98.wav	Kanay ushay, ushami ushukuta upyay.	3.77175
Chapter12_9_9.wav	Ama rupak willachishkakunawanka, periodistakuna rurarka shuk shuk programakunata, empresami nera, golden hans, nishkakunamanta mana allita rimashpa.	12.498625
Chapter13_105_105.wav	Na kay rariokun munitariyallachu kanchik, shukkunapashmi tiyanka imaman llaktapika.	6.010125
