model_id	filename	reference	hyp
omniASR_LLM_1B	Chapter10_151_151.wav	Zoom, ari, chay Zoom nishkapimi Españamanta mashiwan rimankapak munanakushka.	sum ari chay sum nishkapimi españamanta mashiwan rimankapa munanakushka
omniASR_LLM_1B	Chapter10_152_152.wav	Shinapash kay Jaboneropa ayllullaktapika espíritukunapi almakunapash lluchkanmi.	shinapash kay jaboneropa ayllu llaktapika espiritukunapash almakunapash lluchanmi
omniASR_LLM_1B	Chapter10_154_154.wav	Imashina nin, uchilla llakta, hatun infierno.	imashina nin uchillallakta jatun infierno
omniASR_LLM_1B	Chapter10_155_155.wav	Kunanka, chay alli ñakcharishka warmiwan curawanpash yankata shimikunawan shamunakun.	kunanka chay alli ñakcharishka warmiwan kurawampash yankata shimikunawan shamunakun
omniASR_LLM_1B	Chapter10_156_156.wav	Martapak ushita shuk aborto, aborto shinashkata ninakurkami.	martapa ushita shuk aborto aborto shinashkata ninakurkami
omniASR_LLM_1B	Chapter10_159_159.wav	Kikin shuyuchishkanki, Martapa Apoloniopa ushitaka.	kikin shuyuchishkanki martapa apoloniopa ushitaka
omniASR_LLM_1B	Chapter10_163_163.wav	Kantaka mana Herodes pushakka mana kunkanka huchanku.	kantaka mana herodes pushaka mana kunkanka juchanku
omniASR_LLM_1B	Chapter10_164_164.wav	Justicia kantaka huchachinkami.	justicia kantaka juchachinkami
omniASR_LLM_1B	Chapter10_166_166.wav	Kishpichiway, tayta cura.	ishpichiwa tayta kura
omniASR_LLM_1B	Chapter10_168_168.wav	Apéndice nishkata Martapa ushita wiksamanta llukchirkani.	apendis nishkata martapa ushita viksamanta llukchirkani
omniASR_LLM_1B	Chapter10_174_174.wav	Ninan nanayta charirka apéndice nishkawan.	ninan nanayta charirka apendes y nishkawan
omniASR_LLM_1B	Chapter10_178_178.wav	Pitak kanmanka nirka hampikka abortota rurashka nishpa?	pitak kanmanka nirka jambikka abortota rurashka nishpa
omniASR_LLM_1B	Chapter10_179_179.wav	Chaymanta Apolonio taytaka wichkay tukushka, paypa ushita wiksayuk sakiymanta.	chaymanta apolonio taytaka wichaytukushka paypa ushita wiksayus sakimanta
omniASR_LLM_1B	Chapter10_182_182.wav	Apolonio runaka paypa ushita violashkamanta wichkay tukushka kan.	apolonio runaka paypa ushita violashkamanta vichay tukushka kan
omniASR_LLM_1B	Chapter10_189_189.wav	Kay hampipa shutika kanmi, píldoras del día después.	kay jambipa shutika kanmi pildoras del día después
omniASR_LLM_1B	Chapter10_190_190.wav	Tukuylla municipio hampi katuna ukupi kay hampitaka karanka.	tukuylla municipio jambi jatuna ukupi kay jambitaka karanka
omniASR_LLM_1B	Chapter10_197_197.wav	Kaytaka kay organización mundial de la salud ukumantami shina nirka.	kaytaka kay organización mundial de la salud ukumandami shina nirka
omniASR_LLM_1B	Chapter10_19_19.wav	Shuk ruku radialistata uyarkani.	shuk ruku radialistata uyarkani
omniASR_LLM_1B	Chapter10_200_200.wav	Shinapacha, tayta cura.	china pacha tayta kuran
omniASR_LLM_1B	Chapter10_207_207.wav	Imapak chashna hampi [UNK] Papa nishka mana charinachu nishkami.	imapak chasna jambitushnayka papa nishka mana charinachu nishkami
omniASR_LLM_1B	Chapter10_208_208.wav	Shinapachachu kan, tayta cura.	shinapachachu kan tayta kura
omniASR_LLM_1B	Chapter10_209_209.wav	Abortokunamanta piñarishpaka, kay hampikunawanka mana yapa tiyankachu.	abortokunamanta piñarishpaka kay jambikunawanka mana yapa tiyankachu
omniASR_LLM_1B	Chapter10_215_215.wav	Kay anticonceptivos nishkakunaka, karikunapash, warmikunapash, wawakunata charina mana charinatapash paykunami rikunka.	kay anticonceptigos nishkakunaka qarikunapash warmikunapash wawakunata charina mana charinatapash paykunami rikunka
omniASR_LLM_1B	Chapter10_216_216.wav	Wawakuna, Dios kachamushkata charinalla.	wawakuna dios kachamushkata charinalla
omniASR_LLM_1B	Chapter10_218_218.wav	Ama Diostaka kaypi churaychu, tayta cura.	ama diostaka kaypi churaychu tayta kura
omniASR_LLM_1B	Chapter10_219_219.wav	Ayllu ukukunapika machashka kusakunami violashpa chichu sakin.	ayshu ukukunapika machashka kusakunami violashpa chichu saki
omniASR_LLM_1B	Chapter10_21_21.wav	Chashna kashpaka, Manuela, parquekunaman rina kanchik.	chashna kashpa gamanuela parkikunaman rina kanchik
omniASR_LLM_1B	Chapter10_222_222.wav	Warmikunaka kayshina llakilla kawsachunmi Dioska munan!	warmikunaka kayshina llakilla kawsachunmi dioska munan
omniASR_LLM_1B	Chapter10_223_223.wav	Katinkirakchu Dioswan.	katinkirachu dioswan
omniASR_LLM_1B	Chapter10_225_225.wav	Shinaka, píldora hampikunaka kaya punchapa, chayshuk hampikunaka kayna punchapa.	shinaka pildora jambikunaka kayapunllapak chayshuk jambikunaka kaynapunllapaka
omniASR_LLM_1B	Chapter10_22_22.wav	Mercadoman, fútbol pukllana pampaman, ayllullaktakunaman rina kanchik.	mercadoman futbol pukllana pampaman ayllu llaktakunaman rina kanchik
omniASR_LLM_1B	Chapter10_230_230.wav	Haku padre, kay llaktaka chinkay ñanta rikun.	jaku padre kay llaktaka chinkarinanta rikun
omniASR_LLM_1B	Chapter10_232_232.wav	Kishpichipay, Jesucristo.	kishpiti pay jesucristo
omniASR_LLM_1B	Chapter10_233_233.wav	Jaboneropak ayllullaktapi	javoneropak ayllullak tapi
omniASR_LLM_1B	Chapter10_234_234.wav	Pandemiamanta rimaykuna	pandemiamanta rimaykuna
omniASR_LLM_1B	Chapter10_25_25.wav	Maypi chay mana valikkuna kuri minata churankapak munankuna.	maypi chay mana valikuna kuriminata churankapa munankuna
omniASR_LLM_1B	Chapter10_27_27.wav	Ñuka churi Fredywan kushillami kani.	ñuka churi fredewan kushillami kani
omniASR_LLM_1B	Chapter10_2_2.wav	Ari Fredy, imatak?	a ri fredy imata
omniASR_LLM_1B	Chapter10_32_32.wav	Paypa willachinkapak churanata churakushka shuk mochilatapash aparishka purin.	paypa willachinkapa churanata churakushka shuk muchilatapash aparishka purin
omniASR_LLM_1B	Chapter10_34_34.wav	Uyachikkunata aparishpa purina karyan ninmi, antenakunata, cablekunatapash.	uyachikunata aparishpa purinakarianninmi antenakunata cablekunatapash
omniASR_LLM_1B	Chapter10_36_36.wav	Chay rurayka allipachamari kakrin, Fredy.	chay rurayka lipachamarika grimfredis
omniASR_LLM_1B	Chapter10_38_38.wav	Maypimi chay Wilson Guadaña minata churashka nikuk pushtumantapacha kashun.	maypimi chay wilson guadaña ninata churashka nikun pushtumanta pacha kashun
omniASR_LLM_1B	Chapter10_39_39.wav	Na Guadañaka, Gualachi.	na wadañaka walachi
omniASR_LLM_1B	Chapter10_40_40.wav	Ah, shinapacha, kuchuk shinallatak afilado rukumi kakrin.	ashinapacha kuchushinallatak afilador ukumi kagrin
omniASR_LLM_1B	Chapter10_41_41.wav	Manuela, kanka cabinapi shuyanki, tukuyman willachinki.	manuela kanka cabinapi shuyanki tukuyman willachinki
omniASR_LLM_1B	Chapter10_42_42.wav	Ima nishpa ñukaka, Fredy?	imanishpa ñukaka fredy
omniASR_LLM_1B	Chapter10_45_45.wav	Kunanka ñuka Lulawan rishun.	kunanka ñuka lulawan rishun
omniASR_LLM_1B	Chapter10_47_47.wav	Niway, Fredy.	new year freddie
omniASR_LLM_1B	Chapter10_51_51.wav	Chay Wilson runaka amenazashpami rirka.	chay wilsun runaka amenasashpami rirka
omniASR_LLM_1B	Chapter10_57_57.wav	Ñuka mashi Fredymi nikurka.	ñuka mashi fredymi nikurka
omniASR_LLM_1B	Chapter10_69_69.wav	Mashi, kaypika internetka mana hapinkachu.	mashi kaypika internetka mana japinkachu
omniASR_LLM_1B	Chapter10_6_6.wav	Niway, Fredy.	new y freddie
omniASR_LLM_1B	Chapter10_72_72.wav	Kaypika manachu internet hapipan?	kaypika manachu internet japipan
omniASR_LLM_1B	Chapter10_77_77.wav	Mana computadora, tabletakunatapash charinkunachu.	mana computadora tablekunatapas charinkunachu
omniASR_LLM_1B	Chapter10_78_78.wav	Púchica, shinaka ña na ushakrinchikka programata rurayta.	puchika shinaka ñana ushakrinchika programata rurayta
omniASR_LLM_1B	Chapter10_79_79.wav	Mana mana, Lula.	mana mana lula
omniASR_LLM_1B	Chapter10_83_83.wav	Kallariypika kay ayllullaktakunapi internet mana tiyanchu nishpa willachikrinchik.	kallaripika kay ayllu llaktakunapi inti rin mana tiyanchu nishpa willachikrinchik
omniASR_LLM_1B	Chapter10_85_85.wav	Uyachik antapi llamkakkuna, hatun larkapi grabashka llamkanakunkakamanka mineramanta gerenteka alcaldía ukuman chayarka.	uyachi antapi llamkakuna jatun larkapi grabashka llamkanajunkakamanka mineramanta gerenteka alcaldia ukuman chayarkan
omniASR_LLM_1B	Chapter10_86_86.wav	Kayka ima shinami, madeja puchka liariy kallarin.	kayka imashinami madeja pucha liyari kallarin
omniASR_LLM_1B	Chapter10_88_88.wav	Alcaldesa Magdalena Ayala, minkachiway, kushikushkami kani kikinta riksishkamanta.	alcaldesa magdalena ayala mingachiway kushijushkami kani kikinta riksishkamanta
omniASR_LLM_1B	Chapter10_90_90.wav	Wilson Gualachi, empresa minera Golden Hands nishka ukupa pushakmi kani.	wilson walachin empresa minera golden jans nishka ukupak pushanmi kani
omniASR_LLM_1B	Chapter10_92_92.wav	Alcaldesa, yachanchikmi kay municipio imalla llakikunata charikta.	alcaldesa yachanchikmi kay munisipio imalla llakikunata charikun
omniASR_LLM_1B	Chapter10_97_97.wav	Ari, shinapachami don Gualachi.	arí shina pachami don gualachi
omniASR_LLM_1B	Chapter10_98_98.wav	Y imatak ninkapak shamunki?	y imatak ninkapak shamunki
omniASR_LLM_1B	Chapter11_100_100.wav	Tukuytami charinchik, rurukuna, verdurakuna, kiwakuna.	tukuytami charinchik rurukuna verdurakuna jiwakuna
omniASR_LLM_1B	Chapter11_101_101.wav	Kunanka productokuna puchunakun.	kunanka produktokuna puchunajun
omniASR_LLM_1B	Chapter11_104_104.wav	Imashpatak na shuk tiendata churanchik?	imashpatana shuk tiendata churanchik
omniASR_LLM_1B	Chapter11_106_106.wav	Maykan cooperativa, Gumer?	mayjan cooperativa gumer
omniASR_LLM_1B	Chapter11_10_10.wav	Cianuro, arsénico, shuk wañuchina hampikunapash	cianuro arsinico shuk wayuchina hampikunapash
omniASR_LLM_1B	Chapter11_114_114.wav	Cooperativashna tantanakushpa, gastokunata tantachishpa, katuy ushanchik.	coperatibashna tantanajushpa gastokunata tantachishpa jatuy ushanchik
omniASR_LLM_1B	Chapter11_118_118.wav	Shuk fondo comúnta shinashun.	shuk fondo comunta shinashun
omniASR_LLM_1B	Chapter11_11_11.wav	Shinaka ñachu yachankichik chay empresa minera kayman shamukukta?	shinaka ña chuyachanki chichay empresa minera kay mansamun jukta
omniASR_LLM_1B	Chapter11_120_120.wav	Muyukunata, herramientakunata mutsushpaka, tantanakushpa rantishun.	muyukunata herramientakunata mutushpaka tantanajushpa rantishun
omniASR_LLM_1B	Chapter11_121_121.wav	Shuk cooperativa, mashikuna.	shuk coperativa mashikuna
omniASR_LLM_1B	Chapter11_123_123.wav	Shina, jabón, romerowan, mansanillawan.	shina habon romerowan mansanillawan
omniASR_LLM_1B	Chapter11_125_125.wav	Velakunata lavanda sisakunawan.	ninakunata lavanda sisakunawan
omniASR_LLM_1B	Chapter11_126_126.wav	Rudatapash kullkitapash apamuchun.	rudatapash kullkitapash apamuchun
omniASR_LLM_1B	Chapter11_127_127.wav	Imashna muskunki, Gumersinda.	imashna muskunki gumercinda
omniASR_LLM_1B	Chapter11_12_12.wav	Ari, sarun puncha allpata rikunkapak shamurkakuna, medishpa purinkapak.	ari sarón punlla allpata rikunkapak shamurkakuna midishpa purinkapa
omniASR_LLM_1B	Chapter11_130_130.wav	Shuk cooperativapi llamkankuna.	shuk cooperativapi llankankuna
omniASR_LLM_1B	Chapter11_132_132.wav	Pukuchin, feria orgánicakunaman rin.	pukuchin feria organicakunaman rin
omniASR_LLM_1B	Chapter11_142_142.wav	Chay chishillatak paypak yana paño muchikuta churakushka, Amaruka alcaldesa Magdalena Ayalapa ñawpapi shayarirka.	chay chishillata paypak yana pañu muchikuta churakushka amaruka alcaldesa magdalena ayalapa ñawpapi shayarirka
omniASR_LLM_1B	Chapter11_143_143.wav	Allita rimasha, pushak alcaldesa, shinapash ñuka hatuku willachiwarka.	allita rimasha pushac alcaldesa shinapash ñuca jatucuc yachachihuarca
omniASR_LLM_1B	Chapter11_145_145.wav	Ari, nishkataka riksinimi, shinapash imata ninkapak munakukta na hamuktanichu, Amaru Sánchez.	arí nishkataka riksinimi shinapash imata ninkapak munajukta na jamuktanichu amarusanchis
omniASR_LLM_1B	Chapter11_146_146.wav	Chay empresa mineramanta llullak runa kikinta rikunkapak shamurka.	chay empresa mineramanta llullak runa kikinta rikunkapak shamurka
omniASR_LLM_1B	Chapter11_148_148.wav	Wilson Gualachita nikunki?	wilson gualichita nejunki
omniASR_LLM_1B	Chapter11_151_151.wav	Alcaldesa, kikinka yachankichu, chay minas a cielo abierto imashina llamkanataka?	alcaldesa kikinka yachankichu chay minasha cielo abierto imashina llankanataka
omniASR_LLM_1B	Chapter11_154_154.wav	E, alcaldesa, e, willashpa ñawpakrini.	alcaldesa willashpa ñawpagrini
omniASR_LLM_1B	Chapter11_157_157.wav	Uyapanki, alcaldesa.	o yapanki alcaldesa
omniASR_LLM_1B	Chapter11_158_158.wav	Kallaripika urkupi dinamitata churankuna.	kallaripika urkupi dinamitata churankuna
omniASR_LLM_1B	Chapter11_159_159.wav	Chay kipaka ushashka rumikunata hapishpa polvota rurankuna.	chay kipaka ushashka rumikunata japishpa polvota rurankuna
omniASR_LLM_1B	Chapter11_161_161.wav	Katikpika achka cianuro, arsénico yakuwan mayllankuna.	katipika achka cianuro arsenico yakuwan mayllankuna
omniASR_LLM_1B	Chapter11_162_162.wav	Kipallatakka kutin shuktak venenokunatapash churashpa kurita allpamanta chikanyachinkuna.	kipallata kakutin shuktak venenokunatapash churashpa kurita allpamanta chikanyachinkuna
omniASR_LLM_1B	Chapter11_163_163.wav	Chay yakutaka kikinpa comunamantami llukchinka.	chay yakutaka kikinpak kumunamantami llukshinka
omniASR_LLM_1B	Chapter11_166_166.wav	Pero ama yapata llakiyariychu, chay empresakunaka shuk tratamientota yakuta ruran nirka.	pero ama llapata llaquillariychu chay empresacunaca shuc tratamientuta yacuta ruran nirca
omniASR_LLM_1B	Chapter11_168_168.wav	Chayka maypipash mana shinachu, alcaldesa.	chayka maypipas mana chinachu alcaldesa
omniASR_LLM_1B	Chapter11_177_177.wav	Kikinka nirkanki, cianuro, arsénico.	kikin ganirkan guisianuro arsenico
omniASR_LLM_1B	Chapter11_178_178.wav	E, mercuriopash.	mercuriopash
omniASR_LLM_1B	Chapter11_180_180.wav	Chay venenokunaka Canadá, Estados Unidospika prohibidomi kashka, ninanta runakunata allpatapash wakllichishkamanta.	chay venenokunaka canadá estados unidospika prohibidumi kashka ninanta runakunata allpatapash waklichishkamanta
omniASR_LLM_1B	Chapter11_181_181.wav	Alcaldesa, e, makita rikuchipay.	alcaldesa makita rikuchipay
omniASR_LLM_1B	Chapter11_183_183.wav	Chay kuri anillota kikinpa makipi charinki.	chay kuri anilluta kikinpa makipi charinki
omniASR_LLM_1B	Chapter11_186_186.wav	Chay gramota tarinkapakka pichka waranka litro yakuta venenoshpami llukshichin.	chay gramota taringapaka pichka waranga litru yakuta venenoshpami llugshichin
omniASR_LLM_1B	Chapter11_187_187.wav	Ña, shinaka, chay tukuy shinami kan, shinapash, shinapash llamkaykunata kun, ashtaka empleota kun.	ña shinaka chay tukuy shinami kan shinapash shinapash llankuykunata kun ashtaka empleota kun
omniASR_LLM_1B	Chapter11_188_188.wav	Ama asichiwaychu, alcaldesa.	ama asichiwaychu alcaldesa
omniASR_LLM_1B	Chapter11_190_190.wav	E, kayta uyapay, alcaldesa.	kayta o yapay alcaldesa
omniASR_LLM_1B	Chapter11_193_193.wav	Shuk serio reportaje kan.	shuk serio reportaje kan
omniASR_LLM_1B	Chapter11_194_194.wav	Shuk periodista ecuatoriano rurashka.	shuk periodista ecuatoriano rurashka
omniASR_LLM_1B	Chapter11_196_196.wav	Warmikunapakka nima llamkay, yanka explotaciónrakmi tiyan.	warmikunapak nima llamkay yanka explotacionrakmi tiyan
omniASR_LLM_1B	Chapter11_197_197.wav	Prostitutakuna ishtankukunapi.	prostituta kuna ishtandokunapi
omniASR_LLM_1B	Chapter11_198_198.wav	Ciertopacha kan.	siesto pachakan
omniASR_LLM_1B	Chapter11_1_1.wav	Ñuka churi Fredy kashna niwarka.	ñuka churi fredy kashna niwarka
omniASR_LLM_1B	Chapter11_200_200.wav	Shinapash karaykunapash tiyan, estadoman kullkikutapash kunkami.	shinapash karaykunapash tiyan estadoman kullkigutapash kunkami
omniASR_LLM_1B	Chapter11_201_201.wav	Estadopakka ashallami sakirin.	estadopaka ashallami sakirin
omniASR_LLM_1B	Chapter11_202_202.wav	Suerteta charishpaka, diez por ciento, empresa extranjerakunaka noventa por cientota apan, ñukanchik mamallaktaka diez por cientollata charin.	suerteta charishpaka diez por ciento empresa extranjerakunaka noventa por ciento tapan ñukanchik mama llaktaka diez por cientollata charin
omniASR_LLM_1B	Chapter11_206_206.wav	Kay cuentoka, alcaldesa Magdalena, kallarin quinientos wata washa Cerro Rico Potosí urkupi, Bolivia mamallaktapi.	kay cuentoka alcaldesa magdalena kallari quinientos wata washa cerro rico potosi urkupi bolivia mamallaktapi
omniASR_LLM_1B	Chapter11_207_207.wav	Amaru Sánchez, yachanimi.	namarusanchik yachanimi
omniASR_LLM_1B	Chapter11_209_209.wav	Yuyankapaklla na kanchu, alcaldesa.	yuyangapaklla na kanchu alcaldesa
omniASR_LLM_1B	Chapter11_211_211.wav	Jaboneropak ayllullaktapi	jaboneropak ayllu llaktapi
omniASR_LLM_1B	Chapter11_212_212.wav	Pandemiamanta rimaykuna	pandemiamanta rimaykuna
omniASR_LLM_1B	Chapter11_22_22.wav	Chay empresaka kaypika mana yaykunkachu.	chay empresaka kaypika mana yaykunkachu
omniASR_LLM_1B	Chapter11_25_25.wav	Ña kutin shuk rimaykunaman yallishpaka, kaykunamanka ima vacunakunapash na uyarinchu.	ña kutin shuk rimaykunaman yalishpaka kaykunamanka imapakunakunapash na uyarinchu
omniASR_LLM_1B	Chapter11_26_26.wav	Nima, gobiernoka ñukanchik tiyashkataka na yuyanchu.	nima gobiernoka ñukanchik tiyashkataka na yuyanchu
omniASR_LLM_1B	Chapter11_2_2.wav	Sumak kawsay uyachik antamanta chay larka ladopi runa ayllullaktakuna kawsakpaman rishka.	sumak kawsay uyachi antamanta chay larka ladupi runa ayllu llaktakuna kawsakpaman rishka
omniASR_LLM_1B	Chapter11_31_31.wav	Ñukapash contagiarirkani.	ñukapash contagiarirkani
omniASR_LLM_1B	Chapter11_36_36.wav	Jaboneropa ayllullaktapika ña na shuyayta ushanchikchu.	jaboneropa ayllu llaktapika ñana shuyayta ushanchikchu
omniASR_LLM_1B	Chapter11_37_37.wav	Alcaldesaka willachirkami covidpa vacunakunamanta paykunaka chayamunkami nishpa.	alcaldesaka willachirkami covidpa vakunakunamanta paykunaka chayamunkami nishpa
omniASR_LLM_1B	Chapter11_39_39.wav	Ni gringakuna, chinakunapash, rusakunapash, cubanakunapash nima na chayamushkachu.	nigringakuna chinakunapash rusakunapash kubanakunapash nimana chayamushkachu
omniASR_LLM_1B	Chapter11_3_3.wav	Chaypika shuk karu llaktamanta empresa mina de oro nishkata churankapak munanakun.	chaypika shuk karu llaktamanta empresa mina de oro nishkata churankapa munanakuy
omniASR_LLM_1B	Chapter11_40_40.wav	Imasha santokuna nin.	imasha santokuna nin
omniASR_LLM_1B	Chapter11_42_42.wav	Kay punchakunapi ñami primer loteta charishun rukukunapak.	kay punllakunapi ñami primer loteta charishun rukukunapaq
omniASR_LLM_1B	Chapter11_43_43.wav	Imashina nishpaka maykan sesenta y cinco wata yallita charikkunami vacunarinka.	imashina nishpaka mayjan sesenta y cinco wata yalita charikunami vacuna rinka
omniASR_LLM_1B	Chapter11_44_44.wav	Shinaka internetpi solicitudta huntachishpa, puncha y pachata shuyaychik.	shinaka internetpi solicitota huntachishpa punllay pachata shuyachi
omniASR_LLM_1B	Chapter11_45_45.wav	Puntual chayaychik.	puntual chayaychi
omniASR_LLM_1B	Chapter11_46_46.wav	Turnota chinkachishpaka, filapi shayarishpa shuyaylla nin.	turnuta chingachishpaka filapi shayarishpa shuya aylla nin
omniASR_LLM_1B	Chapter11_48_48.wav	Alcaldesa, ñukaka mashna watata charinitapash na yachanika.	alcaldesa ñukaka mashna watata charinitapash na yachanika
omniASR_LLM_1B	Chapter11_53_53.wav	Shinapash setenta y cinco watamanpash manarak chayankichu.	shinapash setenta y cinco watamanpash manara chayankichu
omniASR_LLM_1B	Chapter11_55_55.wav	Pushak alcaldesa, shuk tapuy.	pushak alcaldesa shuk tapuy
omniASR_LLM_1B	Chapter11_58_58.wav	Ari, kikinka ña vacunarishka kashpa ña mana piñarinki.	ari kikinka ñawakunarishka kashpa ña mana piñarinchi
omniASR_LLM_1B	Chapter11_59_59.wav	Ari, Ministerio de Saludmi autorizaciónta kuwarka.	ari ministerio de saludmi autorizacionta cuwarka
omniASR_LLM_1B	Chapter11_60_60.wav	Shinapash yapata parakukpi llakirishka kani.	shinapash yapata parajukpi llakirishka kanmi
omniASR_LLM_1B	Chapter11_61_61.wav	Pushak alcaldesa, ama yapata piñarishpa, ucha ruray.	ashi alcaldesa ama yapata pinarishpa ucha ruray
omniASR_LLM_1B	Chapter11_62_62.wav	Ministeriota kutin tapukrini, e, kay killaka wamprakunapash vacunarinka niwashka.	ministiriota kutin tapukrini kay killaka wambrakunapash vakunarinka niwashka
omniASR_LLM_1B	Chapter11_66_66.wav	Ñuka rirkanimi alcaldesawan rimankapak, e, mana chay vacuna nishkakunamantaka, ashtawanka empresa mineramanta.	ñuka rirkanimi alcaldesawan rimankapak mana chay vacuna nishkakunamantaka ashtawanka imprisa mineramanta
omniASR_LLM_1B	Chapter11_69_69.wav	Don Eusebio, kikinpak churika uyachik antataka allitami apakun.	don eusebio kikinpas churika uyachi antataka alitami apajun
omniASR_LLM_1B	Chapter11_6_6.wav	Chaypi internet señal na tiyakpi, entrevistataka grabarka, Amaruwan, comunamanta dirigentekunawan, shuk mashikunawanpash.	chaypi internet señal na tiyakpi entrevistataka grabarka ama ruwan comunamanta dirigentekunawan shuk mashikunawanpash
omniASR_LLM_1B	Chapter11_72_72.wav	Shinaka, kikinpa warmika proyecto de huertos familiarkunawan purikunchu?	shinaka kikinpa warmika proyecto de huertos familiarkunawan purijunchu
omniASR_LLM_1B	Chapter11_74_74.wav	Fredy llullu kakpillatakmi wañurka, mashi.	fredy llullu kakpillatami wañurka mashi
