audio_file	transcription
Chapter12_86_86.wav	Hatun empresakunaka paykunallatak yanaparin.
Chapter12_72_72.wav	Uchilla tantanakushkakunatapash paykunatapash ñawpaman apana.
Chapter12_126_126.wav	Alli adoctrinadota rikukunika pushakkunamanta.
Chapter12_44_44.wav	Shuwaykuna ashtawan mirashka.
Chapter12_110_110.wav	Wilson Gualachi kariyarishka runami payka.
Chapter12_43_43.wav	Imata yuyanki.
Chapter12_128_128.wav	Minata churankapak ñukanchikta tapuna kan.
Chapter12_88_88.wav	Bajo interéskunata kushpa, tecnologíaman yaykuchun, asesoría yachachishpa, shukkunatapash rurashpa.
Chapter12_117_117.wav	Shuk empresaman kunakunchik, llamkayta kuchun, kankunapa alli kachun.
Chapter12_153_153.wav	Tukuyllami shuk preciota charin.
Chapter12_38_38.wav	Kay, kaypika llamkaykuna illaymantami ñukanchikta ninanta wañuchikun.
Chapter12_154_154.wav	Tukuy comunakunapash, shuk cancha de fútbolta kushun nikpika, ari ninkallami.
Chapter12_36_36.wav	Megamineríaka na yapa empleota karanchu.
Chapter12_162_162.wav	Chayka pakta shinashun.
Chapter12_31_31.wav	Chay pirata radiomanta mashikunatapish cuidanki.
Chapter12_165_165.wav	Tapunkakaman nisha ninkami.
Chapter12_191_191.wav	Pandemiamanta rimaykuna
Chapter12_131_131.wav	Kay convenio ciento sesenta y nueve organización internacional del trabajo, Naciones Unidas santowan.
Chapter12_91_91.wav	Ari, alcaldíapi charinchik, asha kullkita mañachinkapak, shinapash na yapa solicitudkuna tiyanchu.
Chapter12_65_65.wav	Shuk fuente de trabajotapash ministinchik.
Chapter12_136_136.wav	Chay consultataka mana vinculanchikchu.
Chapter12_62_62.wav	Excursiones nishkatapash shinankallami.
Chapter12_96_96.wav	Machaykunatapash mirachin.
Chapter12_109_109.wav	Chaymanka empresa mineramanta gerente chayashka.
Chapter12_100_100.wav	Allilla allilla.
Chapter12_54_54.wav	Cierto.
Chapter12_107_107.wav	Salud, mashikuna, salud.
Chapter12_98_98.wav	Don Eusebio, shamuy, shukkuta upyay.
Chapter12_138_138.wav	Chaypi rikushun ñukanchik kutichishkakunata kazunkichikchu o mana.
Chapter12_53_53.wav	Paypa comunaka ecoturismomanta rurakrin.
Chapter12_30_30.wav	Shinaka cuidanki.
Chapter12_190_190.wav	Jaboneropak ayllullaktapi
Chapter12_164_164.wav	Tuparishun, mashikuna, tuparishun.
Chapter12_37_37.wav	Kaytapash ñami averiguarkani.
Chapter12_163_163.wav	Shina papeletas y urnasta ahorrashunchik.
Chapter12_155_155.wav	Asha kullkita pushakkunaman kunallami faltan.
Chapter12_39_39.wav	Empresakuna wichkanakun shuk shuk.
Chapter12_152_152.wav	Kaytaka ñukaman sakiway, señor delegado.
Chapter12_106_106.wav	Yawarman directo richunyari.
Chapter12_99_99.wav	Imanallatak kashkankichik, mashikuna.
Chapter12_52_52.wav	Amaru Sánchez kashnami niwarka.
Chapter12_139_139.wav	Ña ñuka nikurkanika, señor delegado.
Chapter12_101_101.wav	Alli uratallatak kallarishkankichik nachu?
Chapter12_55_55.wav	Turismo comunitariotayari.
Chapter12_137_137.wav	Tapuykunata ruraychiklla.
Chapter12_97_97.wav	Willani, kaynanik puncha wasiman rikushpa, chawpi punchapi mercado esquinapika chayta yallikukpika shina niwarka.
Chapter12_108_108.wav	Chay hawa mayupi tiyak comunidad chaypimi ashtawan sinchi kawsay rikurin.
Chapter12_63_63.wav	Ña ña ña ari.
Chapter12_130_130.wav	Ama niway, ima nishkamanta.
Chapter12_64_64.wav	Shinapash chayllaka na, na kankachu.
Chapter12_90_90.wav	Paykunami ashtawan sinchi waktay tukushka kan kay pandemiapika.
Chapter12_46_46.wav	Carterakunata shuwanakun, mikunata rantinkapak.
Chapter12_79_79.wav	Pampamanta mankaman.
Chapter12_112_112.wav	Imashina ña yachanchik.
Chapter12_41_41.wav	Yarkaywanka shuwaykuna kallarin.
Chapter12_115_115.wav	Ministerioka mana paypak allpatashina piman convidayta ushankunachu.
Chapter12_83_83.wav	Shamupaychik, rantipaychik.
Chapter12_77_77.wav	Y na payllakuna.
Chapter12_123_123.wav	Siempre nik kashkaka estadoka ñukanchikmi kanchik nishpa.
Chapter12_48_48.wav	Yarkaymantaka imatapash shinarinllami.
Chapter12_70_70.wav	Kashna, kashna.
Chapter12_84_84.wav	Televisores, refrigeradores, ventiladores, tukuytami alliyachishun.
Chapter12_124_124.wav	Kankunaka gobiernomanta, pushakmanta kankichik.
Chapter12_184_184.wav	Kikin nishkanki chay supayta.
Chapter12_170_170.wav	Chay amenazakunaka minería nishkamantami kanka.
Chapter12_24_24.wav	Y utuhukunata, mapakunata, contaminaciónta, allpamamata wañuchishpa sakin.
Chapter12_177_177.wav	Chaytaka rikukrinkichikmi.
Chapter12_183_183.wav	Chay supay manchachichun sakirinchikchu.
Chapter12_148_148.wav	Minería cielo abierto nishkaka, chayka infierno paskashka shinami kan.
Chapter12_23_23.wav	Tukurikpi empresakunaka rishpa sirin.
Chapter12_141_141.wav	Shamupashun.
Chapter12_4_4.wav	Yuyankapak churawashkanki.
Chapter12_15_15.wav	Chunka ishkay capítulo
Chapter12_3_3.wav	Amaru Sánchez, yachanimi.
Chapter12_146_146.wav	Kushikunimi shina rimakukta uyashpa.
Chapter12_12_12.wav	Uyaychik, uyaychik.
Chapter12_179_179.wav	Seriopacha rinakun kay minerokunaka.
Chapter12_85_85.wav	Mora, mortiño vinota, mandarina hayak yakuta, yana, killu, puka cervezata.
Chapter12_71_71.wav	Kaypika chay pymes uchilla hatunlla chay empresakunata chaykunata ashtawan ñawpaman apana.
Chapter12_125_125.wav	Chaypika ñukanchikmi paganchik.
Chapter12_76_76.wav	Chay warmi tantanakuykuna ña feriakunapi katunakun.
Chapter12_82_82.wav	Allipacha ushutakuna alli wakra karawan.
Chapter12_49_49.wav	Shinami shuk yuyak runa nin karyan.
Chapter12_122_122.wav	Pitakyari kutin estadoka?
Chapter12_40_40.wav	Desempleo kipaka yarkay shamun.
Chapter12_114_114.wav	Shinaka kay allpakunaka ñukanchikpak, ñukanchikpak taytakunapak, ñukanchikpak ñawpa ruku yayakunapakmi kan.
Chapter12_47_47.wav	Celular shuwaykuna tiyan, mikunata rantinkapak.
Chapter12_113_113.wav	Ministerioka kay allpakunata kushka ñukanchik Golden Hands companíaman metalkunata explotankapak, shinaka.
Chapter12_78_78.wav	Ari.
Chapter12_147_147.wav	Ñukanchikka mineríatami mana munanchik.
Chapter12_2_2.wav	Alcaldesa Magdalenapa umapi shuk bombashina chayarka.
Chapter12_178_178.wav	Alalay.
Chapter12_13_13.wav	Jaboneropak ayllullaktapi
Chapter12_5_5.wav	Yuyankapaklla na kanchu, alcaldesa.
Chapter12_140_140.wav	Kay uyachik anta piratamantami kay runakunataka rinrita kunuchin.
Chapter12_14_14.wav	Pandemiamanta rimaykuna
Chapter12_182_182.wav	Ashalla ashalla rurayta ushanchik yanimi ñukaka.
Chapter12_176_176.wav	Kankuna umata kunukyachishkankichik mayu umamanta comunerokunata.
Chapter12_22_22.wav	Llukchirin y tukurin.
Chapter12_149_149.wav	Kanka na riksinkichu, mashi, kay minucioso informe de impacto ambiental nishkata presentashka empresa alli pacha shinashkata.
Chapter12_171_171.wav	Chay ukumantami kachamuriyanka.
Chapter12_185_185.wav	Shinapash na chayllatakchu supayta kayayka, qué supayta chimpapura rikuyka.
Chapter12_25_25.wav	Kashna casokunapi imashina ña yacharin.
Chapter15_135_135.wav	Larkamanta shuk botella yakuta huntachishpa aparkanchik, paykuna mallichun.
Chapter15_61_61.wav	Ashtawan yachanayan?
Chapter15_95_95.wav	Shinapash larkaka mana ukupi kanka.
Chapter15_132_132.wav	Petróleomi yanayachishka yakuka ñami ishkay kilómetros larkata mapayachishka, kay yakuka shuk shuk ayllullaktakunatami purikun.
Chapter15_59_59.wav	Nima illak sakirinchik, ñukanchik allpakunapillatak wakchakunashina.
Chapter15_92_92.wav	Ñukanchikta llakichishpa sakishka.
Chapter15_66_66.wav	Kimirimuychik, makita satiychik.
Chapter15_104_104.wav	Pozokunaman rirkanchik harkankapak.
Chapter15_50_50.wav	Haku, imatak ninki?
Chapter15_68_68.wav	Ari, ari, makita satishpa, ashnan, petróleo hicharishka.
Chapter15_103_103.wav	Disparaychik!
Chapter15_57_57.wav	Imashina kakta niylla, llaki apashkapacha.
Chapter15_168_168.wav	Kaytami shinakrini.
Chapter15_157_157.wav	Tiyariy, ama urmankichu.
Chapter15_150_150.wav	Piaroakuna, chorotegakuna, lencakuna.
Chapter15_159_159.wav	Pitak?
Chapter15_32_32.wav	Yupaychani.
Chapter15_166_166.wav	Shuk samay?
Chapter15_35_35.wav	Derechos humanokunata tapurkani, ochenta por ciento shuwaykuna y crimenkuna ñukanchik llaktapi relacionado kan, drogaskunawan niwan.
Chapter15_161_161.wav	Apolonio kacharishka purikun, kay barriopi rikurkani ñukapacha.
Chapter15_102_102.wav	Imami kanchik yashkatak kay indiokunaka?
Chapter15_69_69.wav	Iskun derramekunamari tiyan, kay pozo kallarishkamanta, tubo pakirishpa, ninan llaki apashkamari kan.
Chapter15_56_56.wav	Nishpaka, kankunaka ganaderokunantin, cocalerokunantin, yapa llakipi urmashkankichik.
Chapter15_105_105.wav	Ñukanchik lanzakunata apashpa, na violenciata maskanakurkanchikchu, shinapash policíakuna disparay kallarirka.
Chapter15_51_51.wav	Ñami animarirkani, Eusebio.
Chapter15_58_58.wav	Chashnapacha.
Chapter15_133_133.wav	Mana rimayta usharkanchikchu empresa petroleramantakunawan.
Chapter15_67_67.wav	Mana, mana alli ashnanka, mana alli ashnanchu.
Chapter15_93_93.wav	Allpa ukupi tiyakkuna estadopa nin.
Chapter15_134_134.wav	Entrevistata mañarkanchik, relacionador público na chaypi nirka, kutinparakpash tikramuychik nirkami.
Chapter15_94_94.wav	Hawa pachapi tiyakkuna estadopa nin.
Chapter15_60_60.wav	Na urkukunatalla rupachishkachu.
Chapter15_34_34.wav	Uyasha, uyasha.
Chapter15_160_160.wav	Rimay, Gumer, ima ama shina chariwaychu.
Chapter15_33_33.wav	Kayta uyay, Eusebio.
Chapter15_158_158.wav	Yachankichu pitatak rikurkani, lechugashina fresco karka?
Chapter15_167_167.wav	Shinapash chaytaka na niyta ushanchikchu, chaypillatak providakuna ña kutin waktanka, chay aborto mana munakkuna, fanáticokuna.
Chapter15_151_151.wav	Kaqchikelekuna, zapotecakuna, mundurukúkuna.
Chapter15_169_169.wav	Riksinimi shuk runata, payka imatapash kukpika, wañuchinkallami chay na alli runataka.
Chapter15_156_156.wav	Imatak, imashkatak mama Gumer, imatak kan?
Chapter15_174_174.wav	Shinaka, imatak shinasha?
Chapter15_180_180.wav	Juezkunaka ishpana ukushina mapakunami hawirishka kan.
Chapter15_20_20.wav	Despenalizashka tukuy droga, marihuana, cocaína, shinallatak heroínata chupakkunata.
Chapter15_18_18.wav	Na, Portugalpika ñami veinte watata chayta shinashpa katinakun.
Chapter15_173_173.wav	Kantaka hapinka y kanpa ushika mama illak sakirinka.
Chapter15_27_27.wav	Uruguaypika marihuanawan kallarishka.
Chapter15_9_9.wav	Mañachishka allpa
Chapter15_145_145.wav	Awajúnkuna, huaoranikuna.
Chapter15_11_11.wav	Shuklla, Eusebio.
Chapter15_142_142.wav	Llakichishkakunapash shutita charinmi, kay tukuy apya yalapi, ñukanchik hatun llaktapi.
Chapter15_7_7.wav	Pandemiamanta rimaykuna
Chapter15_29_29.wav	Ari.
Chapter15_16_16.wav	Y estado chay katuk ukukunata rikuriyachun.
Chapter15_129_129.wav	Ashtawan llakikuna hawa, yana kuri nishka surkukkuna.
Chapter15_42_42.wav	Chay negocio criminal hatun preciokunawan katinkapakmi kan.
Chapter15_89_89.wav	Pero mashikuna, nachu hatarishkankichikyari?
Chapter15_116_116.wav	Sumak kawsay uyachik antamanta mashikuna.
Chapter15_45_45.wav	Uyay, alcaldesa.
Chapter15_111_111.wav	Kay llaktapi justiciaka culebrashinami kan, chaki lluchu purikkunata kanin.
Chapter15_73_73.wav	Ari ari, rikuni, ari, chaypi, chayman rikurin.
Chapter15_118_118.wav	Ñukanchik mashikuna Fredy, Manuela rishka chaykunaman rikunkapak, hatun kiru pampakuna rupanakuymanta kay allpakunapi.
Chapter15_87_87.wav	Makita satichiy kay mapa yakupi.
Chapter15_127_127.wav	Chaypillatak kutin kutin llakichiy tukushkanchik.
Chapter15_80_80.wav	Wawkikuna, ama llakiriychikchu.
Chapter15_74_74.wav	Explotación limpia y segura kan.
Chapter15_120_120.wav	Rikushpapash mana kririnchu.
Chapter15_6_6.wav	Jaboneropak ayllullaktapi
Chapter15_28_28.wav	Shuyay, shuyay.
Chapter15_143_143.wav	Kukamakuna, witotokuna.
Chapter15_17_17.wav	Shinapash nachu yapa muskuylla kan chayka?
Chapter15_144_144.wav	Kichwakuna, aymarakuna.
Chapter15_1_1.wav	Alcaldesa Magdalena yapa yuyachishpa sakiwarka kay drogakunamanta shinallatak lavandería de millones de dólares kullkikunawan chay gringolandiapi ruray willaykunawan.
Chapter15_10_10.wav	Imashi solución kan, imatatak rurashun, alcaldesa?
Chapter15_172_172.wav	Ama chaytaka niychu, veci.
Chapter15_19_19.wav	Hm, chaypika shinachu kashka.
Chapter15_26_26.wav	Kunanka chawpilla tiyan.
Chapter15_8_8.wav	Chunka pichka capítulo
Chapter15_181_181.wav	Ari, shinallatakmari kan.
Chapter15_175_175.wav	Makita cruzashpachu sakirisha?
Chapter15_21_21.wav	Adictokunaka mana ninan shuwakunashinaka nishkakunachu kan, ashtawankarin hampirinata munankuna.
Chapter15_75_75.wav	Shinapash, rikuychikyari.
Chapter15_81_81.wav	Ñukanchikka alli paktachinata yachanchikmi.
Chapter15_121_121.wav	Ushashka allpakunatami ña kutin rupachinakun.
Chapter15_119_119.wav	Katipaychik, mashikuna.
Chapter15_86_86.wav	Imashina nin, maykan yapata kusha nikka nimata mana paktachinchu.
Chapter15_72_72.wav	Chay lomata yallishpa, autoridadkuna nin.
Chapter15_126_126.wav	Chay rupashka allpakunapika kunanka coca nishka kiwatami tarpushka tiyan, coca nishka kiwata!
Chapter15_44_44.wav	Imasha Al Capone tiempopi alcohol prohibiciónwan.
Chapter15_110_110.wav	Shinapash chaypirak kan.
Chapter15_43_43.wav	Shina, shina kana kan, chaypi sí alli kan.
Chapter15_128_128.wav	Alli nishpaka rupachishka hawa, drogakunapash.
Chapter15_88_88.wav	Ña na yakuta upyayta ushanchikchu, armaytapash na ushanchikchu, ña challwakunapash illan, tukuymi tukurishka.
Chapter15_117_117.wav	Shuk conexiónta charinchik Amazoníamanta.
Chapter15_153_153.wav	Imashina nin.
Chapter15_38_38.wav	Ari, mafiakuna tukurinman, cárcelkunapash chushakyanman.
Chapter15_154_154.wav	Mana pachamamataka ñukanchik ñawpa taytakunamanta karashka shina hapirkanchikchu, ñukanchikpa wawakunamantami mañachishka shina charinchik.
Chapter15_36_36.wav	Shuk llaktakunapika shinallatakmi kanka.
Chapter15_162_162.wav	Imata niwankiyari?
Chapter15_31_31.wav	Ochenta por ciento?
Chapter15_165_165.wav	Shinaka, pitak ñuka ushitaka wiksayukta sakishka?
Chapter15_131_131.wav	Na yacharinchu mashnapacha hicharishkata.
Chapter15_91_91.wav	Nimata na tarinchik.
Chapter15_65_65.wav	Maypi, maypi?
Chapter15_136_136.wav	Rikuchun puntashna alli yuraklla yakuchu kan.
Chapter15_62_62.wav	Willachiway, willachiway.
Chapter15_96_96.wav	Ni samaypash.
Chapter15_109_109.wav	Imata shinayta na ushashpa wakanchik.
Chapter15_100_100.wav	Kashna llakikuna mirarishpa katikpi.
Chapter15_54_54.wav	Ama mascarillata kunkanki.
Chapter15_107_107.wav	Ishkay wawkikuna wañurka, chaymanta shuk wawkika escuelapi yachachik karka, allkutashna wañuchirka.
Chapter15_98_98.wav	Shinapash samaypash mapayashka kan.
Chapter15_138_138.wav	Willashpa katishun.
Chapter15_53_53.wav	Haku, haku.
Chapter15_30_30.wav	Niway.
Chapter15_164_164.wav	Pruebakuna illan nishka?
Chapter15_37_37.wav	Ari, na prohibido kashpaka, tukurinman kay ochenta por ciento delitokunaka.
Chapter15_163_163.wav	Juez nishka, na suficiente pruebaskuna tiyanchu cárcelpi sakinkapak nishka.
Chapter15_155_155.wav	Marta, Marta, rikchariy!
Chapter15_39_39.wav	Shinallatak chay tawka tawka waranka millón kullkikunata, kay drogakuna tukuchishun nishka makanakuypimi churana rantika, hampikunapi, yachachikkunapi churana.
Chapter15_152_152.wav	Pusak patsak pueblos originarios yallimi Apya Yalamanta tiyan, pachamamata wakaychishpa kan.
Chapter15_106_106.wav	Locokuna kashna dispararka.
Chapter15_99_99.wav	Wawakuna cáncerwan unkushka wacharin, llakirinchikmi.
Chapter15_52_52.wav	Haku haku, ama mascarillata kunkankichu.
Chapter15_139_139.wav	Mashikuna, kaymi hatun llakikuna kan, empresakunaka maytapash rurashpa wañuchishpa sakin, estadopash mana rikunchu kay llaktakunataka.
Chapter15_101_101.wav	Disparaychik!
Chapter15_55_55.wav	Alcaldesawan empanadata mikunkapak rinkakamanka, ñuka churi Fredy, uyachik antamanta Manuelantin, Amazoníapi shuk reportajeta shinanakurka.
Chapter15_137_137.wav	Shinapash pipash mana ñawita rikuchirkachu.
Chapter15_97_97.wav	Ari, mana kanka, shinapacha kan.
Chapter15_108_108.wav	Ñukanchik wañushkakunamanta wakanchik.
Chapter15_63_63.wav	Larkaman shamuychik, kayta shamuychik, shamuychik, haku haku.
Chapter15_130_130.wav	Ña tubo pakirishkakuna tiyan.
Chapter15_64_64.wav	Chay mapata rikunkichik?
Chapter15_90_90.wav	Ña shaykushkama kanchik.
Chapter15_46_46.wav	Ari.
Chapter15_79_79.wav	Chayamushka punchakunakarin wawkiku nin karyan.
Chapter15_112_112.wav	Shinapash gobiernoka ñukanchik mamallaktaka petróleomantami kawsanchik nishka.
Chapter15_41_41.wav	Chayta niway.
Chapter15_115_115.wav	Yachashpami nin kashka.
Chapter15_83_83.wav	Kay chuya mayuka chayshinallatakmi sakirinka.
Chapter15_77_77.wav	Killkakatirkanchikmi nishkakunata, chaypika chay surkukkunaka mapayachishka petróleo mapayachishkataka allichishunmi nishkarkami.
Chapter15_123_123.wav	Empresa ganaderamanta dueñokunami kan.
Chapter15_48_48.wav	Nachu purikrishun shinapash shuk cafékuta upyashun.
Chapter15_70_70.wav	Maypitakyari, petróleopa hatun pukyukunaka maypitakyari?
Chapter15_84_84.wav	Ayllullaktapakka llamkay tiyanka, yachana wasipish allichishka sakirinka, hampirina wasipish tiyankaman.
Chapter15_124_124.wav	Shinalla kan yuyakpipash, kaytaka mana willachishkachu.
Chapter15_184_184.wav	Pandemiamanta rimaykuna
Chapter15_170_170.wav	Ñuka Matildakuka chay llakichishka washaka hampikkunapakmanmi rirka.
Chapter15_24_24.wav	Allipachakuna.
Chapter15_177_177.wav	Imatak?
Chapter15_183_183.wav	Jaboneropak ayllullaktapi
Chapter15_148_148.wav	Wichikuna, shuarkuna.
Chapter15_23_23.wav	Shinapash ima resultadota chaypi tiyashka?
Chapter15_141_141.wav	Llakichikkuna shutikunata charinmi, Amazonía allpakunapi kan.
Chapter15_4_4.wav	Soluciónka Portugalpimi kan.
Chapter15_15_15.wav	Drogakuna katurichun precio realpi y locales autorizadoskunapi.
Chapter15_3_3.wav	Ashtawankarin shuk hatun negocio kashka paykunapaka.
Chapter15_146_146.wav	Waraokuna, Guaraníkuna.
Chapter15_12_12.wav	Despenalizana y legalizana tukuy drogakunata.
Chapter15_179_179.wav	Pichashun tukuy justiciata kay mamallaktapi.
Chapter15_85_85.wav	Sumakta nirka.
Chapter15_71_71.wav	Kaymantaka na rikurinchu.
Chapter15_125_125.wav	Ñukanchik ñawikunawanpachami rikushkanchik.
Chapter15_76_76.wav	Tukuy mapata larkaman shitashka.
Chapter15_82_82.wav	Tuberíakunapi ima mana alli kakpika, utkami allichishun.
Chapter15_49_49.wav	Kaykupilla shuk empanadakunata katukunmi.
Chapter15_122_122.wav	Responsablekunaka shutita charinmi.
Chapter15_40_40.wav	Kutin, locroshinallatak kakpika, imashpatak na legalizan?
Chapter15_114_114.wav	Ñuka hatun yayaka ninmi karyan, petróleoka diablopa ismami kan nishpa.
Chapter15_47_47.wav	Kikinka trabajaylla yallinki.
Chapter15_113_113.wav	Mejor niychikyari, petróleomanta wañunchik nishpa.
Chapter15_78_78.wav	Yanka umachiklla kan.
Chapter15_147_147.wav	Asháninkakuna, mapuchekuna, yanomamikuna, tikunakuna.
Chapter15_2_2.wav	Ñukaka siempre yuyan karyani kullkita charik llaktakunaka drogakunataka anchuchinkapak munanmi yashpa.
Chapter15_178_178.wav	Kay tukuy tukurikpika, tukuy yallikpika, makanakuna kanchik shuk gobiernomanta.
Chapter15_13_13.wav	Shinacha kanka.
Chapter15_5_5.wav	Ashtawan averiguashpa katina kani, nachu shina yuyankichik?
Chapter15_140_140.wav	Kirukunata urmachishpa, petróleo nishkakunatayman hichashpa rin, kaykunami ñukanchik allpamamataka wañuchinakun.
Chapter15_14_14.wav	Tukuyllatakpacha.
Chapter15_182_182.wav	Chay kanpak kusa mana valitaka sakiy, payllatakmi urmanka guanábanashina.
Chapter15_176_176.wav	Rikunki, Marta.
Chapter15_22_22.wav	Estadoka paykunata yanapan.
Chapter15_149_149.wav	Kunakuna, nahuakuna, mayakuna, shipibokuna, borakuna.
Chapter15_171_171.wav	Ari, chaytami rurakrini.
Chapter15_25_25.wav	Ña na consumidorkuna tiyan, ashalla tiyan.
Chapter14_135_135.wav	Uyay.
Chapter14_61_61.wav	Ñukanchik wasikunata urmachirka.
